word,propability
"Abbau",-580
"Abbaue",-580
"Abbauen",-580
"Abbaues",-580
"Abbaus",-580
"Abbruch",-47
"Abbruches",-47
"Abbruchs",-47
"Abbrüche",-47
"Abbrüchen",-47
"Abdankung",-47
"Abdankungen",-47
"Abdämpfung",-47
"Abdämpfungen",-47
"Abfall",-47
"Abfalles",-47
"Abfalls",-47
"Abfuhr",-3367
"Abfuhren",-3367
"Abfälle",-47
"Abfällen",-47
"Abgrund",-3464
"Abhängigkeit",-3653
"Abhängigkeiten",-3653
"Ablehnung",-5118
"Ablehnungen",-5118
"Ablenkung",-434
"Ablenkungen",-434
"Abnahme",-47
"Abnahmen",-47
"Abneigung",-47
"Abneigungen",-47
"Abnutzung",-47
"Abriss",-47
"Abrisse",-47
"Abrissen",-47
"Abrisses",-47
"Abrisss",-47
"Abrutsch",-47
"Abrutsche",-47
"Abrutschen",-47
"Abrutsches",-47
"Abrutschs",-47
"Abschaffung",-580
"Abschaffungen",-580
"Abschreckung",-47
"Abschreckungen",-47
"Abschreibung",-3345
"Abschreibungen",-3345
"Abschuß",-47
"Abschwächung",-1935
"Abschwächungen",-1935
"Absenkung",-3434
"Absenkungen",-3434
"Abspaltung",-47
"Abspaltungen",-47
"Absperrung",-47
"Absperrungen",-47
"Abstieg",-3215
"Abstiege",-3215
"Abstiegen",-3215
"Abstieges",-3215
"Abstiegs",-3215
"Abstoß",-47
"Abstoßes",-47
"Abstoßs",-47
"Abstrich",-3201
"Abstriche",-3201
"Abstrichen",-3201
"Abstriches",-3201
"Abstrichs",-3201
"Abstumpfung",-47
"Absturz",-4739
"Absturzes",-4739
"Absturzs",-4739
"Abstöße",-47
"Abstößen",-47
"Abstürze",-4739
"Abstürzen",-4739
"Absurdität",-47
"Absurditäten",-47
"Abweichung",-3462
"Abweichungen",-3462
"Abweisung",-47
"Abweisungen",-47
"Abwertung",-3283
"Abwertungen",-3283
"Abwärtstrend",-1941
"Abzocke",-47
"Achtlosigkeit",-47
"Affäre",-1794
"Affären",-1794
"Aggression",-4889
"Aggressionen",-4889
"Aggressivität",-1958
"Aggressivitäten",-1958
"Aggressor",-3155
"Aggressoren",-3155
"Aggressors",-3155
"Agitation",-47
"Agitationen",-47
"Alarm",-47
"Alarme",-47
"Alarmen",-47
"Alarmes",-47
"Alarms",-47
"Alptraum",-47
"Alptraumes",-47
"Alptraums",-47
"Alpträume",-47
"Alpträumen",-47
"Amateur",-47
"Amateure",-47
"Amateuren",-47
"Amateurs",-47
"Ambivalenz",-3266
"Ambivalenzen",-3266
"Androhung",-47
"Androhungen",-47
"Anfälligkeit",-47
"Angreifer",-47
"Angreifern",-47
"Angreifers",-47
"Angriff",-2120
"Angriffe",-2120
"Angriffen",-2120
"Angriffes",-2120
"Angriffs",-2120
"Angst",-5140
"Angste",-5140
"Angsten",-5140
"Anklage",-3468
"Anklagen",-3468
"Anmaßung",-47
"Anmaßungen",-47
"Annullierung",-47
"Annullierungen",-47
"Anomalie",-47
"Anomalien",-47
"Anspannung",-47
"Anspannungen",-47
"Anstrengung",-47
"Anstrengungen",-47
"Antipathie",-47
"Antipathien",-47
"Arbeitslose",-3549
"Arbeitslosen",-3549
"Arbeitslosigkeit",-3654
"Armut",-2038
"Arroganz",-3289
"Arschloch",-1901
"Arschloches",-1901
"Arschlochs",-1901
"Arschlöcher",-1901
"Arschlöchern",-1901
"Attacke",-4700
"Attacken",-4700
"Aufhebung",-47
"Aufhebungen",-47
"Auflösung",-47
"Auflösungen",-47
"Aufregung",-386
"Aufregungen",-386
"Aufruhr",-47
"Aufruhre",-47
"Aufruhren",-47
"Aufruhres",-47
"Aufruhrs",-47
"Aufschrei",-47
"Aufschreie",-47
"Aufschreien",-47
"Aufschreies",-47
"Aufschreis",-47
"Aufstand",-47
"Aufstande",-47
"Aufstanden",-47
"Aufstandes",-47
"Aufstands",-47
"Aufstände",-47
"Aufständen",-47
"Ausbeute",-1894
"Ausbeuten",-1894
"Ausbeuter",-47
"Ausbeutern",-47
"Ausbeuters",-47
"Ausbeutung",-47
"Ausbeutungen",-47
"Ausbruch",-47
"Ausbruches",-47
"Ausbruchs",-47
"Ausbrüche",-47
"Ausbrüchen",-47
"Auseinandersetzung",-603
"Auseinandersetzungen",-603
"Ausfall",-2164
"Ausfalles",-2164
"Ausfalls",-2164
"Ausfälle",-2164
"Ausfällen",-2164
"Ausgrenzung",-6260
"Auslöschung",-47
"Auslöschungen",-47
"Ausrottung",-47
"Ausrottungen",-47
"Ausschließung",-47
"Ausschließungen",-47
"Aussetzung",-47
"Aussetzungen",-47
"Banalität",-47
"Banalitäten",-47
"Bankrott",-47
"Bankrotte",-47
"Bankrotten",-47
"Bankrottes",-47
"Bankrotts",-47
"Barriere",-47
"Barrieren",-47
"Bedeutungslosigkeit",-47
"Bedrohung",-47
"Bedrohungen",-47
"Bedrängung",-47
"Bedrängungen",-47
"Bedrückung",-434
"Bedrückungen",-434
"Bedürftige",-47
"Beeinträchtigung",-3472
"Beeinträchtigungen",-3472
"Befall",-47
"Befalles",-47
"Befalls",-47
"Befangenheit",-47
"Befangenheiten",-47
"Befälle",-47
"Befällen",-47
"Befürchtung",-4903
"Befürchtungen",-4903
"Begrenzung",-47
"Begrenzungen",-47
"Behinderung",-3578
"Behinderungen",-3578
"Belastung",-3711
"Belastungen",-3711
"Beleidigung",-3432
"Beleidigungen",-3432
"Belästigung",-47
"Belästigungen",-47
"Beschneidung",-3313
"Beschneidungen",-3313
"Beschränkung",-3518
"Beschränkungen",-3518
"Beschuldigung",-3209
"Beschuldigungen",-3209
"Beschwerde",-47
"Beschwerden",-47
"Beschwerlichkeit",-47
"Beschwerlichkeiten",-47
"Beschädigung",-47
"Beschädigungen",-47
"Beschäftigungslose",-47
"Beschäftigungsloser",-47
"Beschämung",-47
"Beschämungen",-47
"Beseitigung",-47
"Beseitigungen",-47
"Beseitigungnen",-47
"Besorgnis",-47
"Besorgnisse",-47
"Besorgnissen",-47
"Bestechung",-47
"Bestechungen",-47
"Besteuerung",-47
"Besteuerungen",-47
"Bestrafung",-47
"Bestrafungen",-47
"Bestürzung",-47
"Betrug",-4913
"Betruges",-4913
"Betrugs",-4913
"Betrüger",-3311
"Betrügern",-3311
"Betrügers",-3311
"Beule",-47
"Beulen",-47
"Beunruhigung",-3240
"Beunruhigungen",-3240
"Bevormundung",-47
"Bevormundungen",-47
"Bitterkeit",-47
"Blindheit",-47
"Blockade",-47
"Blockaden",-47
"Blockierung",-47
"Blockierungen",-47
"Blödheit",-47
"Blödheiten",-47
"Bombardement",-47
"Bombardements",-47
"Bombardierung",-47
"Bombardierungen",-47
"Bombe",-47
"Bomben",-47
"Bosheit",-3371
"Bosheiten",-3371
"Brand",-47
"Brandes",-47
"Brands",-47
"Bruch",-3463
"Bruches",-3463
"Bruchs",-3463
"Brutalität",-47
"Brutalitäten",-47
"Brände",-47
"Bränden",-47
"Brüche",-3463
"Brüchen",-3463
"Bußgeld",-3377
